"Nomes","Valor","Cluster"
"Tênis Under Armour Project Rock Bsr Masculino",358.89,2
"Tênis Starter New Ilusion Unissex",74.99,1
"Tênis Joma Set Masculino",355.99,2
"Tênis ASICS GEL-Sparta - Masculino - Azul Marinho",399.9,2
"Tênis Adidas Game Spec 2 Branco e Marinho",399.9,2
"Tenis Masculino Polo Blu Cano Baixo Super Leve",69.9,1
"Tênis Coca-Cola Stamp Madisson Masculino",319.9,2
"TÊNIS SKECHERS MAX CUSHIONING PREMIER TRAIL",512.9,2
"Tênis Adventure Thunderstorm Bota Couro Plamilha em Gel Solado Coturno Trilha Trekking Aventura",299.9,2
"Tênis Masculino pra Caminhada Academia Treino e Dia-a-Dia Confortável + Relógio Esporte",134.99,1
"Tênis Caminhada Masculino Academia + Relógio Digital LED Esportivo",104.39,1
"Tênis Couro Cavalera Break Tune Up Masculino",261.89,1
"Tênis Mizuno Space 4 Masculino",299.99,2
"Tênis QIX Chorão Park -",259.11,1
"Tênis Rainha Castle",178.88,1
"Tênis Mad Rats Bulky Classic 90 Unissex 34 ao 44",448.72,2
"TÊNIS ASICS GEL-NAGOYA 6  MASCULINO - PTO/MAR 40",499.87,2
"Tênis Skechers Go Run Fast Masculino",257.04,1
"Tenis Hocks Bold Cobalto UV",443.13,2
"Tênis Qix Skate Square",291.51,1
"Tênis Qix Hexagon Skate Camurça Masculino Preto",371.79,2
"Tenis Everlast Kansas Masculino",170.9,1
"Tenis Everlast Kansas Masculino",170.9,1
"Tenis Everlast Kansas Masculino",170.9,1
"Tenis Everlast Kansas Masculino",170.9,1
"Tênis Challenge Treino Confortável Simon Vergan",99.9,1
"Tênis Puma Ferrari Neo Cat",339.9,2
"Tênis New Balance Fresh Foam X 880 V13 Masculino",581.99,2
"Tênis Masculino Box 200 BX2247 Esportivo",69.9,1
"Tênis Asics Gel Hypersonic 3 Masculino",584.99,2
"Tênis Rainha Noble Masculino",169.99,1
"Tenis Masculino Reserva Type R Classic Preto",575.9,2
"Tênis Olympikus Reverso Masculino",331.55,2
"Tênis Tesla Coil",417.9,2
"Tênis Masculino Mizuno Wave Creation 24",440.99,2
"Tênis Mizuno Cool Ride 2 Infantil",289.9,1
"Tênis Infantil Kidy Play Respitec Velcro Com Surpresa",118.57,1
"Tênis Olympikus Eros Masculino Original",179.27,1
"Tênis ASICS GEL-Quantum 180 Fly - Masculino - Branco com Preto e Vermelho",429.99,2
"Tênis Adidas Vulcraider Leo Masculino",394.9,2
"Kit Tênis Feminino Esportivo super leve + relógio Amanda Brazil",79.9,1
"Tênis Masculino Casual Dia a Dia Camurça Preto+Branco",99.9,1
"Tênis Esportivo It Shoes Amortecedor Gel Masculino",99.9,1
"Tênis Nike Giannis Immortality 3 Masculino",759.99,3
"Tênis Fila Trend 2.0 Masculino",303.23,2
"Tênis Redley Originals Infantil",196.56,1
"Tênis Asics Gel-Nagoya 6 Masculino",428.99,2
"Tênis Masculino Venetto Academia Fitness Leve Confortável",118.65,1
"Tênis Masculino Adidas Coreracer",320.09,2
"Tênis de Corrida Masculino Mizuno Goya",239.99,1
"Tênis Fila Tr-knit Masculino",189.9,1
"Tênis Bebê Nike Flex Advance Masculino",227.94,1
"TÊNIS HOCKS PUFF PRETO REFLETIVO",322.99,2
"Tênis Qix Trek Reflexivo Esportivo Cinza",459.9,2
"Kit Tênis Feminino Esportivo super leve + relógio Amanda Brazil",79.9,1
"Tênis Adventure Masculino Couro Trilha Aventura Conforto",322.9,2
"Tênis Unissex Mizuno Prophecy Beta 2",1799.99,3
"Tênis Oakley Halftrack Low Masculino",599.9,2
"Tênis Puma BMW MMS Wired Cage Masculino",449.99,2
"Tênis Olympikus Qu4dra BR1",499.99,2
"Tênis Everlast Forceknit 4 Uni Preto / Azul",249.99,1
"Tênis Slip On Masculino Em Couro Legitimo",229.99,1
"Tênis ASICS Upcourt 5 - Masculino - Azul com Branco",349.99,2
"Tênis Slip On Puma Anzarun Lite",319.9,2
"Tênis Under Armour Project Rock 6 Preto e Cinza",1199.99,3
"Sapatenis Tenis Slip On Mocassim Masculino Casual Confortável  Couro Eco Parra Boots",159.9,1
"Tênis Le Coq Sportif Omega X Masculino",465.88,2
"Tênis Skechers Go Walk 6 Masculino",399.99,2
"Slip On Couro Democrata Denim Fender Masculino",268.67,1
"Tênis Masculino Box 200 BX2256 Preto 43",79.98,1
"Tenis Masculino Para Caminhada Corrida Ultra Ortopedico Leve",67.49,1
"Tênis Skatista Masculino Street Lifestyle Moderno Estiloso Dia a Dia + Relógio e Carteira",69.39,1
"Tênis Skechers Go Run Trail Altitude 42 Masculino - Cinza e Laranja",494.91,2
"Tenis Foguete Com Luzes de Led Infantil Menino Pisou Piscou Acendeu",76.09,1
"Tênis Sneaker Lacoste Lineshot com Logotipo de Couro Masculino",704.65,3
"Tênis BRAVADA  Adidas Masculino",449.99,2
"Tênis New Balance 696V5 Vermelho e Preto",311,2
"Tênis Infantil Masculino Escolar Pinókio sem Cadarço",107.25,1
"Tênis Adidas Masculino Trail Racer TR23 Running Esporte",451.15,2
"Kit 2 Tênis Masculino Amortecedor Gel Academia Caminhada",161.39,1
"Kit 3 Tênis Infantil Masculino Evoltenn Impacto",170.9,1
"Tênis Evelast Monster 3 Uni Bege / Preto",279.99,1
"Tênis Rainha Castle",169.26,1
"Tênis Masculino e Feminino Calce Fácil Para Academia Treinos e Caminhadas",76.41,1
"Tênis Hoka Mach 5 Masculino",949.99,3
"Tênis Masculino Olympikus Diffuse 5",299.99,2
"Tênis Olympikus Hybrid",247.34,1
"Tenis Lona Casual Star Feet Feminino Masculino Tendencia",67.14,1
"Tênis Adidas Runfalcon 2.0 Masculino",379.99,2
"Tênis Masculino Mizuno Wave Frontier Beta",530.99,2
"Tênis ASICS GEL-Shogun 6 - Masculino - Cinza com Laranja e Branco",399.98,2
"Tênis Basquete Masculino Six Street Vision Lançamento",339.9,2
"Tênis Masculino Esporte Cadarço Academia Corrida Macio Dia a Dia",125.99,1
"Tênis Adidas VL Court 3.0 Masculino",374.9,2
"Tênis Reebok Club C Grounds Preto Masculino",451.24,2
"Tênis Fila Ray Tracer Evo 2 Masculino Nude",647.19,2
"Tênis Esportivo Masculino Macio Conforto Academia Fitness",79.9,1
"Tenis Masculino Fit Energy Ortopedico Calc Facil Extra Leve",159.99,1
"Tênis Nike ZoomX Streakfly Masculino",759.99,3
"Tênis Rainha Prince Casual",149.98,1
"Tênis de Corrida Masculino Mizuno Wave Neo Wind",599.99,2
"Tênis Masculino Esportivo Alta Performance Com Solado Comfort Para Corrida Academia Caminhada",115.89,1
"Tênis Infantil College Colegial Klin Confortável 323023000",149.9,1
"Tênis Puma Flyer Flex Bdp Masculino",299.9,2
"Tênis Fatal Unissex",54.98,1
"Tênis Coca Cola Blend Classic Branco",129.9,1
"Tênis Yate Slip-on Masculino Sapatênis Casual em Lona",69.9,1
"Tênis Power Sport Adventure Camurça 020",139.9,1
"Tênis Fila Racer T2 Preto e Laranja",399.99,2
"Tênis Fiever Blink All Gender Masculino",149.99,1
"Tênis Oakley Flak II Snkr",399.98,2
"Tênis Reebok Energen Tech",284.99,1
"Tênis de Corrida Unissex Under Armour Charged Hit",399.99,2
"Tênis Reebok Flexagon Energy TR 4 Masculino",332.49,2
"Tênis Masculino Under Armour Tribase Cross",359.9,2
"Tênis ASICS Netburner Ballistic FF MT 3 - Masculino - Azul e Verde",949.99,3
"Tênis OUS Arquitetônico Masculino",366.79,2
"Tenis Under Armour Tribase Reps",399.99,2
"Tênis Joma Set Clay Branco e Limão",494.99,2
"Tênis Esportivo Unissex Para Exercícios em Tecido Conforto e Estilo",139.9,1
"Tênis Under Armour Charged Quicker Marinho",369.99,2
"Tênis Coca Cola Kick Summer Azul e Vermelho",113.99,1
"Tênis Escolar Casual Skatista Unissex Haymax mod H8 Original",74.99,1
"Tênis Circuito Casual Slip On Masculino",72.1,1
"Tênis Estival Gorge C2 Masculino",419.9,2
"Tênis Diadora Scala Casual",99.98,1
"Tênis Adidas Switch Run Black White",459.99,2
"Tênis ASICS GEL-Task 3 - Masculino - Branco com Preto e Verde",429.99,2
"Tênis Asics UpCourt 4 Masculino",383.2,2
"Tênis Under Armour Pacer",227.94,1
"Tênis Tesla Coil White Reflect",379.9,2
"Tênis Puma BMW MMS Drift Cat Decima",449.9,2
"Tênis Olympikus Chroma Preto",174.9,1
"Tênis Aramis Journey Urban Masculino",503.01,2
"Tênis Under Armour Ch.Slight 3 Masculino",349.19,2
"Tênis Hoka One Clifton 9 Masculino",1260.99,3
"Tênis Under Armour Ch.Slight 3 Masculino",349.19,2
"Tênis Under Armour Ch.Slight 3 Masculino",349.19,2
"Tênis Under Armour Ch.Slight 3 Masculino",349.19,2
"Tênis Under Armour Ch.Slight 3 Masculino",349.19,2
"Tênis Olympikus Wellness 2 Masculino",249.9,1
"Tênis Reebok Royal Complete Sport Masculino",265.99,1
"Tênis Tesla Coil Black Furta Cor - Preto",389.4,2
"Tênis Rekoba Keep Trainning",97.11,1
"Tênis Fila Float Soma Preto e Branco",409.9,2
"Tênis Adidas Lite Racer Adapt 6.0 Masculino",396,2
"Tênis DC Shoes Anvil TX LA",264.1,1
"Tenis Masculino Esporte Sola Reta Para Academia Caminhada Asc Lege 21",170.99,1
"Bota Bull Terrier Austin Trekking Preto Masculino",284.9,1
"Tênis Fila Magnific Masculino",208.54,1
"Tênis Asics Gel-Quantum 360 Direction Masculino",664.99,2
"Tênis Skechers Arch Fit 41 Masculino - Bege",449.99,2
"Tênis Mizuno Space 3 Masculino",235.9,1
"Tênis Mizuno Dynasty 3 Masculino",359.9,2
"Tenis Masculino Reserva Neo Azul Marinho",460.7,2
"Tênis Reebok Energen Plus 2 Masculino",332.49,2
"Tênis Adidas Vs Pace 2.0 Masculino HP6010",349.99,2
"Tênis New Balance 41 V8 Masculino",499.9,2
"Tênis New Balance Fresh Foam Garoé Preto/Azul Masculino",749,3
"Tênis New Balance 237v1 Masculino",499.99,2
"Tênis Baw Grip Cano Alto Masculino",281.29,1
"Tênis Diadora Scala Casual",109.99,1
"Tênis Bota Coturno Adventure Masculino Infantil",125.1,1
"Tênis Cano Médio Casual Masculino Liso Conforto Dia a Dia",129.9,1
"Tênis Asics Japan S Masculino",349.99,2
"Tênis Skechers Go Walk Max Masculino",279.8,1
"Tênis Masculino Ascension Lege 21 Esporte Tamanho Especial",127.41,1
"Tênis Under Armour Hovr Overlap Preto",709.9,3
"Tênis Adidas Racer TR23 Masculino",499.8,2
"Tênis Osklen Canvas Slip On",279.9,1
"Tênis Fila Athlon Masculino",299.9,2
"Tênis Mizuno Atlantis Masculino",314.91,2
"Tênis Qix DB2",259.9,1
"Tênis Mizuno Wave Rider 26 Masculino",449,2
"Tênis Olympikus Rastro Masculino",269.9,1
"Tênis Infantil Kurz Masculino",26.99,1
"Tênis Masculino Reebok Nano X3",949.9,3
"Tênis Reebok Masculino Nano X3 Treino",756.8,3
"Tênis Masculino Slip On Esportivo Comfort Sem Cadarço Com Tela Respirável Calce Fácil",104.25,1
"TENIS MASCULINO OLYMPIKUS ORION/172",218.4,1
"Tênis Fila Vega Masculino",269.9,1
"Tênis Asics Gel-Pacemaker 4 Masculino",469.9,2
"Tênis Under Armour Tribase Reps Unissex",449.99,2
"Tênis Puma Masculino Mercedes",611.23,2
"Tênis de Corrida Masculino Under Armour HOVR Infinite 2",386.99,2
"Tênis Rainha Casual Liberty",179.88,1
"Tênis ASICS Buzz 4 GS BRA - Infantil - Preto",219.99,1
"Tênis Feminino Masculino Casual Branco Leve e Confortável",76.9,1
"Tênis Infantil Masculino Marinheiro Kidstep",49.9,1
"Tênis Masculino Salomon OutRise Outdoor Trekking",899.9,3
"Tênis Asics Raiden 3 Masculino",329,2
"Tênis Olympikus Subverse",349.99,2
"Tênis de Rodinha com Led Preto Kidy",152.99,1
"Tênis Fila Street Fit 2 Masculino Branco",290.79,1
"Tênis Adidas Adizero Boston 12",1299.99,3
"Kit Tenis Masculino Esportivo Academia Corrida Carteira e Meia",67.5,1
"Tênis de Treino Masculino Under Armour Tribase Reps",399.99,2
"Tênis Caminhada Eastrail 2.0 Adidas",599.9,2
"Tênis Puma Wired Run Jr Juvenil Masculino",299.16,2
"Tênis West Coast Wc 105",314.91,2
"Tenis Masculino Reserva Neo Azul Marinho",460.7,2
"Tênis Infantil Klin Flyer Mini Menino - Caramelo - 27",169.9,1
"Tênis Tesla Hertz All White",269.91,1
"Tênis Unissex Mizuno Wave Prophecy Beta",809.99,3
"Tênis Infantil Molekinho Casual Masculino",109.99,1
"Tênis Hoka Challenger ATR 7 Masculino",1299.9,3
"Tênis Skechers Bountiful Masculino",199.99,1
"Tênis Fusion Estilo Fitness Moderno Masculino",66.9,1
"Tênis Masculino Slip On Esportivo Comfort Sem Cadarço Com Tela Respirável Calce Fácil",104.25,1
"Tênis Oakley Masculino Halftrack Low II",579.88,2
"Tênis Asics Gel Equation 12 Masculino",271.59,1
"Tênis Casual Confortável Masculino Polo Plus",98.9,1
"Tênis Rainha Kingdom Unissex",189.99,1
"Tênis Asics Dynablast 3 Masculino",427.4,2
"Tênis Under Armour Unissex Tribase Reps Treino",399.99,2
"Tênis Park ST Adidas",329.99,2
"Tênis Masculino Fila Classic Runner SL 999405 Retro Corrida",294.4,2
"Tênis Nike Flex Plus 2 Infantil",256.49,1
"Tênis Masculino Rafarillo Sneaker Beats Alth Aumenta Altura +7cm Couro Legítimo Confortável 68053",459.87,2
"TENIS NEW BALANCE 500V2 MASCULINO VINHO",359.95,2
"Tenis oldsen masculino colorado casual dia a dia  passeio",119.88,1
"Tênis Masculino Leve Esportivo Conforto Dia a Dia Elástico",67.92,1
"Chuteira Infantil Futsal Tênis Futebol de Salão Runway",94.9,1
"Tênis Masculino Polo Joy Cano Alto Cadarço Lona Confortável",108.2,1
"Tênis Reebok Classic Legacy Masculino",569.99,2
"Tênis Saucony Cohesion 16 Masculino Cinza/Vermelho",499.99,2
"Tênis Mizuno Base One Masculino",699.99,3
"Tênis Mizuno Base One Masculino",699.99,3
"Tênis de Corrida Masculino Mizuno Arrow",319.9,2
"Tênis Nike Precision 7 Unissex",322.99,2
"Tênis Street Ollie Masculino Ultra Conforto",125.85,1
"Tênis Lejon Ripper.248 - Branco",189.9,1
"TENIS NEW BALANCE FRESH FOAM ARISHIV4 MASCULINO-MARINHO/LARANJA",404.36,2
"Tênis Moviz Esporte Caminhada Academia Masculino",39.9,1
"TENIS DC SHOES KALYNX ZERO",629.99,2
"Tênis Nike Tanjun EasyOn Infantil",303.99,2
"Tênis Reserva Type R Classic Branco e Bordô",489.9,2
"Tênis Mizuno Wave Vitality 4 Masculino",269.99,1
"Tênis Skechers Max Cushioning Hyper Craze Masculino",455.89,2
"Tênis Fila Vega Masculino",378.99,2
"TENIS MASCULINO TOMMY HILFIGER GREG 1A BRANCO THFM0FM04171 TOMMY HILFIGER",824.99,3
"Tênis Tesla Hertz Black  - Preto/Branco/Refletivo (210102)",329.9,2
"Tênis Oakley Masculino Casual Way",239.88,1
"Tênis Fila Jogger Euro Sport Masculino",341.05,2
"Tênis Redley Originals Verde Limão e Rosa",109.9,1
"Tênis Puma Masculino Anzarun SR BDP",296.45,2
"Shorts Adidas Tênis Club 3 Listras Masculino",149.99,1
"Tênis Olympikus Lap Masculino",229.9,1
"Tênis Infantil QIX Smash",161.91,1
"Tênis Asics Gt 2000 11 Masculino",837.9,3
"Tênis First T171 Masculino",174.99,1
"Tênis Oakley Masculino Modoc Mid II",549.88,2
"Tênis Qix AM - 52010002-432",222.67,1
"Tênis Under Armour Charged Wing",339.8,2
"Tênis Fila Euro Jogger Sport Masculino Cinza",282.69,1
"Tênis Puma MAPF1 Caven 2.0 BDP",290.99,1
"Tênis Masculino Casual Sapatênis Slip On Confortável",99.9,1
"Tênis Asics Dynablast 3 Masculino",559.9,2
"Tênis Coca-Cola Iate City Off White - Masculino",241.61,1
"Tênis New Balance Fresh Foam X Vongov6 Masculino",849.9,3
"TENIS FILA RAY TRACER 1182361 MARROM MASCULINO",459.9,2
"Kit 1 Tênis de Corrida Masculino Under Armour Charged Skyline 3 SE e 1 Pct com 3 pares de Meia cano",229.99,1
"Tênis Umbro Santos Charlie Brown Jr. Trick",242.49,1
"Tênis Rsv 008c Reserva",239,1
"Tenis Esporte Asc Lege 21 Para Academia Caminhada Treino Masculino",152.99,1
"Tênis Fila Select Masculino",279.9,1
"Kit Tênis Academia Masculino + Relógio Digital LED + Meia",126.05,1
"Tênis New Balance Fuelcell Propel V2 Masculino",436.49,2
"Tênis Fila Magnus Masculino",261.15,1
"Tênis Puma Flyer Flex Bdp Masculino",289.9,1
"Tênis Adidas Seeley BR Dark Blue",399.99,2
"Tenis Futsal Quadra Cronos Futebol Adulto Sola Costurada",67.91,1
"Tênis Mizuno Frontier 14",564.28,2
"Sapatênis Masculino Casual Confortável Polo Joy Cano Curto",92.9,1
"Tênis Olympikus Combate 855 Masculino",139.99,1
"Tênis Red Nose Rake 824 Retrô Robusto Masculino",159.5,1
"Tênis Cano Médio Street Star Canvas Hi Masculino",74.99,1
"Tênis Olympikus Proof 3 Masculino",199.99,1
"Tênis Reebok Nano X3 Masculino",664.99,2
"Tênis Puma Masculino Wired Run BDP",199.9,1
"Tênis Masculino Casual Confortável Moderno Cadarço Moda",99.9,1
"Tênis Hurley Swami's",259.98,1
"Tênis Fila Athlon Masculino",284.05,1
"Tênis Masculino Mizuno Wave Prophecy 12",1399.99,3
"Tênis Asics Gel Quantum 180 Fly Masculino",569.89,2
"Tenis Masculino Sapatenis Casual 900 Cafe",81.1,1
"Tênis Hurley Swami's",209.98,1
"Tenis Astral Rsv 222 Evl Reserva",549,2
"Tenis Mormaii Urban Pulse Original Skate Casual Masculino",169.9,1
"Tenis Mormaii masculino",152.91,1
"Tênis Casual Reserva Go Sunset Masculino Antiderrapante com Cadarço Confortável 753940001",389.4,2
"Tênis Infantil Masculino Ploc Led Batman Preto - L40",107.91,1
"Tênis Slip On Puma Anzarun Lite",319.9,2
"Tênis Olympikus Corre Supra",1199.99,3
"Tênis Mizuno Wave Tornamic 2 Masculino",199.99,1
"Tênis Asics Gel-Dedicate 7 Masculino",290.99,1
"Tênis Masculino Venetto Academia Fitness Leve Confortável",118.65,1
"Tênis Infantil Menino Azul Bibi Roller 2.0 1155146",199.9,1
"Tênis On Running Cloudflow 4 Masculino",1049,3
"Tênis Rainha Mont Car IV Bicolor Masculino",129.98,1
"Tênis Fila Masculino Trend 3.0 Treino",259.88,1
"Tênis Mizuno Wave Legend Masculino",539.9,2
"Tênis Adidas Racer TR23 Masculino",499.8,2
"Tênis Skechers Go Run Elevate Masculino Preto",379.89,2
"Combo 2 Tenis Sapatenis Masculino Couro Legitimo Casual",256.4,1
"Tênis Olympikus Linear Masculino",226.01,1
"Tênis Fila Renno Vintage Masculino 44",332.49,2
"Tênis Asics Dynablast 3 Masculino",878.23,3
"Chuteira Tênis Futsal Dray   Black Indoor Preto Original",99.99,1
"TENIS NEW BALANCE FRESH FOAM X 1080V13 MASCULINO",1059.49,3
"Tênis Hocks De La Calle Skate Masculino",273.59,1
"Tênis Mormaii Urban Pulse Masculino",189.9,1
"Tênis Pegada Masculino em Couro 111501",287.99,1
"Tênis Hocks Bold /Espectro",476.91,2
"Tênis Rainha Route",149.98,1
"Tênis Asics Gel-Quantum 360 Direction Masculino",799.9,3
"Tênis Puma RS 3.0 Synth Pop Masculino",549,2
"Tênis Masculino Cross 4x4 Confortável Treino Academia MVP",500.79,2
"Tênis Olympikus Cyber 3 Masculino-39 Petroleo-verde",237.4,1
"Tenis Casual Infantil Masculino Menino - 6410-009-36",134.9,1
"Tênis Mizuno Way 3 Masculino",333.36,2
"Tênis Reebok Ex-O-Fit Hi Masculino",489.9,2
"Tênis Under Armour Bankshot Branco",429.9,2
"Tênis Rainha Drive III Masculino",222.9,1
"Tênis Mizuno Space 3 Masculino",284.84,1
"Tênis Adidas Defiant Speed Masculino",620.79,2
"Kit 2 Tênis Street Ollie Masculino Monster Conforto",179.53,1
"Tênis Mizuno Furious 2 Masculino",258.91,1
"Tênis Tesla Fusion Pro Model Denis Silva Black White - Preto/Branco (2001.09)",329.9,2
"Tênis Mizuno Wave Nitron 2 Masculino",370,2
"Tênis Hurley Pismo Masculino",279.99,1
"Tênis Reserva Joy Masculino",269.9,1
"TENIS EVERLAST FORCEKNIT 4 FEMININO ROSA/BRANCO",259.89,1
"Kit Tênis Asics Gel-Quantum 360 Masculino + Par d",759.9,3
"Tênis Mizuno Space 4 Kids Grafite - Infantil 32",288.79,1
"Tênis Hoka One One Clifton 9 Masculino",1299.9,3
"Tênis OUS Imigrante Masculino",408.4,2
"Tênis Fila Renno Vintage Masculino 42",332.49,2
"Tênis Olympikus Orion Masculino",227.9,1
"Tênis Mizuno Wave Falcon 4 Masculino",360.99,2
"Tênis On Running Cloudstratus 3 Masculino",1149.9,3
"Tênis Reebok Hexalite Legacy 1.5 Masculino",569.99,2
"Tênis Adidas Run 50S",249.99,1
"Tênis Everlast Climber Pro Uni Preto / Cinza",349.99,2
"Tênis Asics Fuzeblast Se Masculino",299.98,2
"Tênis Adidas Rapidmove Masculino",664.99,2
"Tênis Puma MAPF1 Wired Run",313.4,2
"Tênis Masculino Sem Cadarço Calce Facil Leve e Macio U800",61,1
"Tênis Hocks Pop Lite -",316.26,2
"Kit Tênis De Led Infantil Menino Masculino Sonic + Camisa",78.9,1
"Tênis Sapatênis Masculino Rafarillo Toronto Alth Aumenta +7cm Altura Couro Legítimo 93051",329.9,2
"Tênis de Futsal Munich G3 Indoor - 385",551.99,2
"Tênis Hocks Pop Lite Masculino Original",297.41,2
"Tênis Puma X-Ray 2 Square BDP Feminino Preto e Azul",429.9,2
"Tênis Fila Racer Speedzone Masculino",599.99,2
"Tênis Fila Racer Speedzone Masculino",581.99,2
"Tênis Rainha Drive III Unissex",152.99,1
"Tênis Adidas Ultraboost Light 23",759.99,3
"Tênis Oympikus Atomo Masculino",139.9,1
"Tênis Joma Victory 4 Masculino",254.99,1
"Tênis Oakley Flak II Snkr",299.99,2
"Tênis Corrida Trilha Tracefinder Adidas",410.31,2
"Tênis Hocks Tempus",304.9,2
"Tênis Reebok Hexalite Legacy Masculino",569.99,2
"Tênis OUS Arquitetônico Masculino",366.79,2
"Tênis Skechers Viewson Doriano Masculino",234.82,1
"Tênis Olympikus Difuse 5 Adulto Masculino - 43733260",299.9,2
"Tênis Masculino em Couro Confortável Casual Basico + Relógio",142.4,1
"Tenis Botinhas Sneakers Cano Alto Top Fitness Casual Academia Preto/Branco",236.55,1
"Tenis Masculino Feminino Academia Esporte Corrida Leve Promoçãoo Leve",84.99,1
"Tenis Infantil Sapatinho Menino Casual Bebe Cegonha",59.76,1
"Kit Tenis de Mesa de Ping Pong Juvenil 15mm MDF Sports Mania",559.9,2
"Tênis Adidas Racer TR 21 Masculino",389,2
"Tenis Futsal Cronos Quadra lisa Masculino Feminino Sola Costurada",67.91,1
"Tênis Adidas X PLR Path Masculino",449.9,2
"Tênis Fila Athlon Masculino",339.04,2
"Kit 1 Tênis de Corrida Masculino Under Armour Charged Slight 2 e 3 pares de Meia cano alto",359.99,2
"Tênis Under Armour Charged Slight 2 Preto e Branco",309.9,2
"Tênis Mizuno Masculino Wave Vitality 5 Corrida",269.99,1
"Tênis Masculino Mormaii Urban Free",162.33,1
"Tênis Oakley EV-Zero Fly Peacoat Masculino",339.49,2
"Tênis Duramo Speed Adidas",541.49,2
"Tênis Hocks Skate Pop Lite Brilhante",315.41,2
"Tênis Fila KR6 Masculino Original",425.53,2
"Tênis Caminhada Masculino Academia + Relógio Digital LED Esportivo",104.39,1
"Tênis Skechers GOrun 7.0 Masculino",588.9,2
"Tênis Oakley Halftrack Low 2",599,2
"TENIS NEW BALANCE FRESH FOAM X EVOZ V3 MASCULINO-MARINHO",582.3,2
"Tênis Olympikus Challenger 2 Masculino",229.9,1
"Tênis New Balance 515v2 Masculino",449.99,2
"Tênis Olympikus Vibration Masculino",387.9,2
"Sapatênis Masculino Polo Plus Tênis Casual Cano Baixo Macio",105.49,1
"Tênis Penalty Futsal RX Locker Infantil",195.52,1
"Tênis Unissex Mormaii Urban Free",144.88,1
"Tênis Asics Gel-Shinobi 2 Masculino",379.89,2
"Tenis Six Street Dunk Adrenaline - Branco Preto Laranja",299.9,2
"Tênis Polo Masculino Botinha Casual Cano Alto Leve Dia Dia",79.11,1
"Tênis Bota Coturno Adventure Várias Cores",134.1,1
"Tênis Adidas Barricade Masculino",799.9,3
"Tênis Excursion TR 16    Masculino",549.99,2
"Tênis Asics Gel Quantum 90 2 Masculino",349.99,2
"Tênis New Balance Fresh Foam X 880 V14 Masculino",899.9,3
"Tênis Skechers Go Run Elevate I Masculino",320.09,2
"Tenis Futsal Cronos Quadra lisa Masculino Feminino Sola Costurada",67.91,1
"Tênis Masculino Esporte Six Street Basquete Impact",379.9,2
"Tênis Dc Shoes Anvil La Mid Black White",247.42,1
"Tênis Tommy Hilfiger Masculino Dorian 3C",849.99,3
"Tênis Olympikus Asfalto Masculino",159.99,1
"Tenis Caminhada Unissex Esportivo confortável leve Slip On Kevin Sintonia",55.16,1
"Tênis Baw Grip Cano Alto Masculino",281.29,1
"Chuteira Futsal Salão Adulto Masculino Futebol Tênis Futsal Salão Anti Derrapante",49.9,1
"Tênis New Balance 574v2 Unisex",599.99,2
"Tênis Joma Ace Pro Masculino",459.99,2
"Tênis Fila Start Masculino",250.71,1
"Tênis Adidas Masculino Galaxy 6",329.88,2
"Tênis Fila Ray Tracer Tr Green Pack Masculino 45",329.9,2
"Tênis Reebok BB 4000 II",522.49,2
"Tênis New Balance Masculino 574v2 Casual",519.88,2
"Sapatenis Masculino Tênis Casual Couro Legítimo Confortável Palmilha De Gel",135.28,1
"Tênis Running Skechers Masculino Bountiful Be Kind 232115",354.9,2
"Tênis Slip On Redley Originals Masculino",249.9,1
"Kit 2 Pares Tênis Masculino Esportivo Cadarço Macio Fitness",189.9,1
"Tênis Converse All Star Chuck Taylor",379.9,2
"Tênis Fila Masculino Euro Jogger Sport",299.16,2
"Tênis Nike Court Borough Low Recraft Infantil",379.99,2
"Tênis Oakley Masculino Casual Split II",199.88,1
"Tênis Asics Masculino Gel-Sonoma 7 Corrida",529.88,2
"Tênis ASICS GEL-Resolution 9 Clay - Masculino - Azul Marinho com Laranja",999.99,3
"Kit 2 Tênis Olympikus Taurus",252.19,1
"Kit Tênis Skechers Go Run 7.0 Masculino + Par de",598.4,2
"Tênis Couro Calvin Klein Palito Básico Masculino",587.74,2
"Tênis Oakley Flak 365 II WT24 Masculino",811.39,3
"Tênis Tesla Coil - Black White",399.9,2
"Tênis Infantil Bibi Roller 2.0 Azul com Verde Slime",179.9,1
"Tênis Adidas Questar",498.74,2
"Tênis Reebok Glide Masculino",332.49,2
"Tênis Mad Rats Bulky Classic 90-",409.9,2
"Tenis Casual Masculino Sport Fino Sola Antiderrapante + Relógio Ponteiro Preto",147.9,1
"Tênis Fusion Esportivo Sola Macia Masculino",66.9,1
"Tênis New Balance 520V8 Feminino Vermelho Claro",399.9,2
"Tênis Olympikus Rastro Masculino",349.99,2
"Sapatenis Tênis Masculino Casual Mocassim Confortável Macio Solado Borracha Bicolor",159.9,1
"Tênis New Balance Fresh Foam X Evoz V3 Preto e Verde Limão",469.9,2
"Tênis ASICS GEL-Quantum 180 Fly - Masculino - Azul Marinho com Amarelo e Branco",429.99,2
"Tenis Masculino/Feminino Academia Caminhada Ortopêdico Esporte GT3 Leve e Macio",125.91,1
"Tênis Hocks Montreal Gelo Masculino Skate Pro Oficial",360,2
"Tênis Casual Pegada Masculino em Couro Chocolate 111504-08",229.9,1
